Metrics,estimate,lower,upper,Model,scenario,criteria_fil
NPV,99.001,97.1716,100.0,LightGBM,VL at diagnosis,"Comorbidity
1-2"
Precision,5.2025,0.0,21.0417,LightGBM,VL at diagnosis,"Comorbidity
1-2"
Sensitivity,46.3833,0.0,100.0,LightGBM,VL at diagnosis,"Comorbidity
1-2"
Specificity,87.582,58.9634,100.0,LightGBM,VL at diagnosis,"Comorbidity
1-2"
AUPRC_value,52.3539,28.8367,82.1919,LightGBM,VL at diagnosis,"Comorbidity
≥3"
AUROC_value,62.9057,40.2767,82.937,LightGBM,VL at diagnosis,"Comorbidity
≥3"
Accuracy,30.4147,20.6786,42.1053,LightGBM,VL at diagnosis,"Comorbidity
≥3"
NPV,4.7667,0.0,81.0,LightGBM,VL at diagnosis,"Comorbidity
≥3"
Precision,30.0427,20.0,41.6641,LightGBM,VL at diagnosis,"Comorbidity
≥3"
Sensitivity,98.7286,77.375,100.0,LightGBM,VL at diagnosis,"Comorbidity
≥3"
Specificity,0.9391,0.0,15.0752,LightGBM,VL at diagnosis,"Comorbidity
≥3"
AUPRC_value,17.8628,2.1302,100.0,Random Forest,VL at diagnosis,"Comorbidity
1-2"
AUROC_value,85.6364,60.8494,100.0,Random Forest,VL at diagnosis,"Comorbidity
1-2"
Accuracy,90.0044,79.4515,97.6048,Random Forest,VL at diagnosis,"Comorbidity
1-2"
NPV,99.0405,97.4749,100.0,Random Forest,VL at diagnosis,"Comorbidity
1-2"
Precision,9.263,0.0,33.3333,Random Forest,VL at diagnosis,"Comorbidity
1-2"
Sensitivity,50.1333,0.0,100.0,Random Forest,VL at diagnosis,"Comorbidity
1-2"
Specificity,90.7438,79.2795,98.766,Random Forest,VL at diagnosis,"Comorbidity
1-2"
AUPRC_value,54.4279,25.3478,83.1606,Random Forest,VL at diagnosis,"Comorbidity
≥3"
AUROC_value,70.6557,47.7946,88.9918,Random Forest,VL at diagnosis,"Comorbidity
≥3"
Accuracy,31.3672,20.6786,44.2333,Random Forest,VL at diagnosis,"Comorbidity
≥3"
NPV,12.1,0.0,100.0,Random Forest,VL at diagnosis,"Comorbidity
≥3"
Precision,30.5682,20.6786,42.5,Random Forest,VL at diagnosis,"Comorbidity
≥3"
Sensitivity,99.5893,93.4375,100.0,Random Forest,VL at diagnosis,"Comorbidity
≥3"
Specificity,2.0071,0.0,21.2592,Random Forest,VL at diagnosis,"Comorbidity
≥3"
AUPRC_value,22.6921,2.4247,100.0,Lasso regression,VL at diagnosis,"Comorbidity
1-2"
AUROC_value,85.8734,63.5715,100.0,Lasso regression,VL at diagnosis,"Comorbidity
1-2"
Accuracy,85.3677,72.1906,95.0401,Lasso regression,VL at diagnosis,"Comorbidity
1-2"
NPV,99.2815,97.9393,100.0,Lasso regression,VL at diagnosis,"Comorbidity
1-2"
Precision,7.7827,0.0,23.6806,Lasso regression,VL at diagnosis,"Comorbidity
1-2"
Sensitivity,65.25,0.0,100.0,Lasso regression,VL at diagnosis,"Comorbidity
1-2"
Specificity,85.7759,71.9416,96.0732,Lasso regression,VL at diagnosis,"Comorbidity
1-2"
AUPRC_value,50.3366,22.5037,79.6048,Lasso regression,VL at diagnosis,"Comorbidity
≥3"
AUROC_value,63.2513,38.2011,89.15,Lasso regression,VL at diagnosis,"Comorbidity
≥3"
Accuracy,32.6676,21.4286,48.75,Lasso regression,VL at diagnosis,"Comorbidity
≥3"
NPV,41.1667,0.0,100.0,Lasso regression,VL at diagnosis,"Comorbidity
≥3"
Precision,30.7745,20.6786,44.1146,Lasso regression,VL at diagnosis,"Comorbidity
≥3"
Sensitivity,98.1853,80.0,100.0,Lasso regression,VL at diagnosis,"Comorbidity
≥3"
Specificity,4.4408,0.0,20.9893,Lasso regression,VL at diagnosis,"Comorbidity
≥3"
AUPRC_value,22.9065,2.4848,100.0,Ridge regression,VL at diagnosis,"Comorbidity
1-2"
AUROC_value,85.7681,62.2562,100.0,Ridge regression,VL at diagnosis,"Comorbidity
1-2"
Accuracy,86.0409,74.8932,93.9667,Ridge regression,VL at diagnosis,"Comorbidity
1-2"
NPV,99.2636,97.9358,100.0,Ridge regression,VL at diagnosis,"Comorbidity
1-2"
Precision,7.595,0.0,19.1364,Ridge regression,VL at diagnosis,"Comorbidity
1-2"
Sensitivity,64.4667,0.0,100.0,Ridge regression,VL at diagnosis,"Comorbidity
1-2"
Specificity,86.4751,74.5974,94.8524,Ridge regression,VL at diagnosis,"Comorbidity
1-2"
AUPRC_value,51.8657,24.5472,79.9294,Ridge regression,VL at diagnosis,"Comorbidity
≥3"
AUROC_value,66.1014,40.2168,88.4375,Ridge regression,VL at diagnosis,"Comorbidity
≥3"
Accuracy,34.7764,21.9758,50.0,Ridge regression,VL at diagnosis,"Comorbidity
≥3"
NPV,64.15,0.0,100.0,Ridge regression,VL at diagnosis,"Comorbidity
≥3"
Precision,31.3022,21.1161,44.1146,Ridge regression,VL at diagnosis,"Comorbidity
≥3"
Sensitivity,96.7806,81.5833,100.0,Ridge regression,VL at diagnosis,"Comorbidity
≥3"
Specificity,8.0823,0.0,23.7765,Ridge regression,VL at diagnosis,"Comorbidity
≥3"
AUPRC_value,22.9722,2.5665,100.0,ElasticNet regression,VL at diagnosis,"Comorbidity
1-2"
AUROC_value,85.8472,62.8147,100.0,ElasticNet regression,VL at diagnosis,"Comorbidity
1-2"
Accuracy,86.0715,74.8746,94.2622,ElasticNet regression,VL at diagnosis,"Comorbidity
1-2"
NPV,99.2708,97.9422,100.0,ElasticNet regression,VL at diagnosis,"Comorbidity
1-2"
Precision,7.7127,0.0,19.1364,ElasticNet regression,VL at diagnosis,"Comorbidity
1-2"
Sensitivity,64.6667,0.0,100.0,ElasticNet regression,VL at diagnosis,"Comorbidity
1-2"
Specificity,86.5002,74.5974,94.9354,ElasticNet regression,VL at diagnosis,"Comorbidity
1-2"
AUPRC_value,51.6743,24.413,81.6075,ElasticNet regression,VL at diagnosis,"Comorbidity
≥3"
AUROC_value,65.8378,39.7511,87.6961,ElasticNet regression,VL at diagnosis,"Comorbidity
≥3"
Accuracy,34.3013,21.9758,50.0,ElasticNet regression,VL at diagnosis,"Comorbidity
≥3"
NPV,61.0167,0.0,100.0,ElasticNet regression,VL at diagnosis,"Comorbidity
≥3"
Precision,31.1415,21.1161,44.1146,ElasticNet regression,VL at diagnosis,"Comorbidity
≥3"
Sensitivity,96.7806,81.5833,100.0,ElasticNet regression,VL at diagnosis,"Comorbidity
≥3"
Specificity,7.4106,0.0,22.5315,ElasticNet regression,VL at diagnosis,"Comorbidity
≥3"
AUPRC_value,17.852,1.4544,67.4843,XGBoost,VL at diagnosis + 2 days,"Comorbidity
1-2"
AUROC_value,85.56,68.6364,99.2258,XGBoost,VL at diagnosis + 2 days,"Comorbidity
1-2"
Accuracy,90.1447,84.0556,94.8314,XGBoost,VL at diagnosis + 2 days,"Comorbidity
1-2"
NPV,99.0411,97.2665,100.0,XGBoost,VL at diagnosis + 2 days,"Comorbidity
1-2"
Precision,7.9408,0.0,21.6154,XGBoost,VL at diagnosis + 2 days,"Comorbidity
1-2"
Sensitivity,48.7667,0.0,100.0,XGBoost,VL at diagnosis + 2 days,"Comorbidity
1-2"
Specificity,90.8734,84.683,95.9506,XGBoost,VL at diagnosis + 2 days,"Comorbidity
1-2"
AUPRC_value,57.0132,30.5226,82.4061,XGBoost,VL at diagnosis + 2 days,"Comorbidity
≥3"
AUROC_value,72.7852,55.5426,89.0972,XGBoost,VL at diagnosis + 2 days,"Comorbidity
≥3"
Accuracy,39.9633,24.9913,60.5833,XGBoost,VL at diagnosis + 2 days,"Comorbidity
≥3"
NPV,89.406,0.0,100.0,XGBoost,VL at diagnosis + 2 days,"Comorbidity
≥3"
Precision,33.3941,21.2312,48.75,XGBoost,VL at diagnosis + 2 days,"Comorbidity
≥3"
Sensitivity,97.1175,81.5833,100.0,XGBoost,VL at diagnosis + 2 days,"Comorbidity
≥3"
Specificity,15.6318,0.0,40.875,XGBoost,VL at diagnosis + 2 days,"Comorbidity
≥3"
AUPRC_value,22.9684,1.4592,62.25,LightGBM,VL at diagnosis + 2 days,"Comorbidity
1-2"
AUROC_value,84.4301,65.5837,98.7094,LightGBM,VL at diagnosis + 2 days,"Comorbidity
1-2"
Accuracy,90.234,71.1464,98.9161,LightGBM,VL at diagnosis + 2 days,"Comorbidity
1-2"
NPV,98.8777,96.9925,100.0,LightGBM,VL at diagnosis + 2 days,"Comorbidity
1-2"
Precision,6.4931,0.0,25.0,LightGBM,VL at diagnosis + 2 days,"Comorbidity
1-2"
Sensitivity,38.6,0.0,100.0,LightGBM,VL at diagnosis + 2 days,"Comorbidity
1-2"
Specificity,91.1602,71.0256,100.0,LightGBM,VL at diagnosis + 2 days,"Comorbidity
1-2"
AUPRC_value,52.9819,25.1564,79.55,LightGBM,VL at diagnosis + 2 days,"Comorbidity
≥3"
AUROC_value,65.1982,40.853,86.0045,LightGBM,VL at diagnosis + 2 days,"Comorbidity
≥3"
Accuracy,30.6023,20.6786,42.1053,LightGBM,VL at diagnosis + 2 days,"Comorbidity
≥3"
NPV,6.5,0.0,100.0,LightGBM,VL at diagnosis + 2 days,"Comorbidity
≥3"
Precision,30.2963,20.6786,42.1053,LightGBM,VL at diagnosis + 2 days,"Comorbidity
≥3"
Sensitivity,99.8,100.0,100.0,LightGBM,VL at diagnosis + 2 days,"Comorbidity
≥3"
Specificity,0.7645,0.0,8.7311,LightGBM,VL at diagnosis + 2 days,"Comorbidity
≥3"
AUPRC_value,19.9684,2.211,85.2484,Random Forest,VL at diagnosis + 2 days,"Comorbidity
1-2"
AUROC_value,86.926,70.7745,99.7013,Random Forest,VL at diagnosis + 2 days,"Comorbidity
1-2"
Accuracy,90.3379,81.6889,96.6964,Random Forest,VL at diagnosis + 2 days,"Comorbidity
1-2"
NPV,99.0374,97.2434,100.0,Random Forest,VL at diagnosis + 2 days,"Comorbidity
1-2"
Precision,9.097,0.0,33.3333,Random Forest,VL at diagnosis + 2 days,"Comorbidity
1-2"
Sensitivity,50.0167,0.0,100.0,Random Forest,VL at diagnosis + 2 days,"Comorbidity
1-2"
