Model,Metric,Comparison,Mean,Lower,Upper
LightGBM,Specificity,S1 - S2,-0.0297196261682243,-0.3559190031152648,0.2167445482866043
LightGBM,Specificity,S1 - S3,-0.0846417445482866,-0.37235202492211844,0.18115264797507774
LightGBM,Specificity,S1 - S4,-0.10476635514018696,-0.3457943925233645,0.15809968847351946
LightGBM,Specificity,S1 - S5,-0.11461059190031155,-0.3505451713395639,0.07204049844236694
LightGBM,Specificity,S2 - S1,0.0297196261682243,-0.2167445482866044,0.3559190031152646
LightGBM,Specificity,S2 - S2,0.0,0.0,0.0
LightGBM,Specificity,S2 - S3,-0.054922118380062314,-0.3630062305295951,0.19883177570093424
LightGBM,Specificity,S2 - S4,-0.07504672897196263,-0.3457943925233645,0.19345794392523355
LightGBM,Specificity,S2 - S5,-0.08489096573208724,-0.3489096573208723,0.07110591900311493
LightGBM,Specificity,S3 - S1,0.0846417445482866,-0.1811526479750779,0.3723520249221184
LightGBM,Specificity,S3 - S2,0.054922118380062314,-0.1988317757009346,0.363006230529595
LightGBM,Specificity,S3 - S3,0.0,0.0,0.0
LightGBM,Specificity,S3 - S4,-0.020124610591900315,-0.27951713395638633,0.18933021806853556
LightGBM,Specificity,S3 - S5,-0.029968847352024923,-0.2883956386292835,0.07017133956386291
LightGBM,Specificity,S4 - S1,0.10476635514018696,-0.15809968847352027,0.3457943925233645
LightGBM,Specificity,S4 - S2,0.07504672897196263,-0.19345794392523366,0.3457943925233645
LightGBM,Specificity,S4 - S3,0.020124610591900315,-0.18933021806853584,0.2795171339563861
LightGBM,Specificity,S4 - S4,0.0,0.0,0.0
LightGBM,Specificity,S4 - S5,-0.009844236760124612,-0.15506230529595016,0.09883177570093435
LightGBM,Specificity,S5 - S1,0.11461059190031155,-0.0720404984423676,0.35054517133956387
LightGBM,Specificity,S5 - S2,0.08489096573208724,-0.07110591900311528,0.3489096573208723
LightGBM,Specificity,S5 - S3,0.029968847352024923,-0.07017133956386294,0.28839563862928347
LightGBM,Specificity,S5 - S4,0.009844236760124612,-0.09883177570093458,0.1550623052959499
LightGBM,Specificity,S5 - S5,0.0,0.0,0.0
Random Forest,AUPRC value,S1 - S1,0.0,0.0,0.0
Random Forest,AUPRC value,S1 - S2,0.002628717503499366,-0.18714251127572099,0.1789651995270102
Random Forest,AUPRC value,S1 - S3,-0.04690969982381886,-0.2522623725963128,0.13630339566871563
Random Forest,AUPRC value,S1 - S4,-0.0637884815587328,-0.279647573349547,0.13257959015884976
Random Forest,AUPRC value,S1 - S5,-0.07384892883023177,-0.34367031960656147,0.1658379181893806
Random Forest,AUPRC value,S2 - S1,-0.002628717503499366,-0.1789651995270102,0.18714251127572096
Random Forest,AUPRC value,S2 - S2,0.0,0.0,0.0
